Year,Date,fiyat
2015,1-30-2015,1822.5
2015,2-9-2015,1871.5
2015,2-16-2015,1831.5
2015,2-23-2015,1772.5
2015,3-2-2015,1797
2015,3-9-2015,1760.5
2015,3-16-2015,1761
2015,3-23-2015,1787
2015,3-30-2015,1776.5
2015,4-6-2015,1770.5
2015,4-13-2015,1781.5
2015,4-20-2015,1858.5
2015,4-27-2015,1827.5
2015,5-4-2015,1919
2015,5-25-2015,1726
2015,6-1-2015,1691.5
2015,6-8-2015,1695.5
2015,6-15-2015,1660.5
2015,6-22-2015,1650.5
2015,6-29-2015,1642
2015,7-6-2015,1644
2015,7-13-2015,1652.5
2015,7-20-2015,1636.5
2015,7-27-2015,1600.5
2015,8-3-2015,1564
2015,8-10-2015,1553
2015,8-11-2015,1553
2015,8-12-2015,1547
2015,8-17-2015,1540.5
2015,8-24-2015,1485.5
2015,8-31-2015,1550
2015,9-7-2015,1588
2015,9-14-2015,1599
2015,9-21-2015,1612
2015,9-28-2015,1537
2015,10-5-2015,1547
2015,10-12-2015,1657.5
2015,10-19-2015,1536
2015,10-26-2015,1480.5
2015,11-2-2015,1447.5
2015,11-10-2015,1486
2015,11-16-2015,1457.5
2015,11-30-2015,1442
2015,12-14-2015,1476
2015,12-28-2015,1541
2016,1-11-2016,1471.5
2016,1-21-2016,1470
2016,1-25-2016,1480
2016,2-1-2016,1520
2016,2-10-2016,1499
2016,2-15-2016,1505.5
2016,2-23-2016,1575.5
2016,3-1-2016,1590.5
2016,3-7-2016,1600
2016,3-15-2016,1508
2016,3-21-2016,1486
2016,3-28-2016,1469.5
2016,4-5-2016,1498
2016,4-11-2016,1493.5
2016,4-18-2016,1547
2016,5-2-2016,1673
2016,5-9-2016,1556.5
2016,5-16-2016,1525.5
2016,5-24-2016,1553
2016,5-30-2016,1552
2016,6-6-2016,1548
2016,6-14-2016,1605
2016,6-20-2016,1607.5
2016,6-27-2016,1592
2016,7-12-2016,1646
2016,7-18-2016,1645
2016,7-25-2016,1601
2016,8-1-2016,1645.5
2016,8-22-2016,1652
2016,8-29-2016,1627.5
2016,9-5-2016,1568.5
2016,9-19-2016,1558.5
2016,9-26-2016,1620
2016,10-3-2016,1650
2016,10-10-2016,1678
2016,10-27-2016,1681.5
2016,10-31-2016,1723
2016,11-8-2016,1706
2016,11-14-2016,1765
2016,11-21-2016,1726
2016,11-29-2016,1722
2016,12-12-2016,1742.5
2016,12-19-2016,1717
2016,12-26-2016,1740
2017,1-9-2017,1717
2017,1-19-2017,1800.5
2017,1-23-2017,1839
2017,1-30-2017,1807
2017,2-6-2017,1812
2017,2-13-2017,1867.5
2017,2-20-2017,1878
2017,3-1-2017,1934
2017,3-6-2017,1868
2017,3-14-2017,1882
2017,3-20-2017,1908
2017,3-27-2017,1916
2017,4-3-2017,1948.5
2017,4-10-2017,1929
2017,4-17-2017,1890
2017,4-24-2017,1928
2017,5-2-2017,1909
2017,5-8-2017,1879
2017,5-15-2017,1899.5
2017,5-22-2017,1943
2017,5-29-2017,1950
2017,6-7-2017,1903.5
2017,6-12-2017,1888
2017,6-19-2017,1861.5
2017,6-28-2017,1886
2017,7-3-2017,1917.5
2017,7-10-2017,1914
2017,7-18-2017,1887
2017,7-24-2017,1890
2017,7-31-2017,1904
2017,8-7-2017,1920
2017,8-14-2017,2030
2017,8-28-2017,2096.5
2017,9-5-2017,2113.5
2017,9-25-2017,2137
2017,10-2-2017,2067
2017,10-9-2017,2135
2017,10-16-2017,2144
2017,10-23-2017,2133.5
2017,10-30-2017,2143
2017,11-6-2017,2103.5
2017,11-13-2017,2100
2017,11-20-2017,2062
2017,12-4-2017,2052.5
2017,12-11-2017,1991.5
2017,12-18-2017,2047.5
2017,12-25-2017,2137
2018,1-8-2018,2177.5
2018,1-15-2018,2227.5
2018,1-22-2018,2255
2018,2-5-2018,2228
2018,2-12-2018,2129
2018,2-19-2018,2189
2018,4-9-2018,2209
2018,3-12-2018,2078
2018,3-19-2018,2070
2018,4-2-2018,1996.5
2018,4-9-2018,2113
2018,4-16-2018,2358.5
2018,4-24-2018,2222
2018,5-2-2018,2269
2018,5-9-2018,2295
2018,5-16-2018,2319.5
2018,5-23-2018,2227
2018,5-30-2018,2265.5
2018,6-7-2018,2331
2018,6-14-2018,2277.5
2018,6-21-2018,2167
2018,6-28-2018,2173
2018,7-9-2018,2135.5
2018,7-16-2018,2130
2018,7-23-2018,2130
2018,7-30-2018,2054
2018,8-7-2018,2026.5
2018,8-14-2018,2038
2018,8-21-2018,2040.5
2018,9-5-2018,2046
2018,9-12-2018,1981.5
2018,9-19-2018,1981
2018,9-26-2018,2056.5
2018,10-5-2018,2140
2018,10-12-2018,2045
2018,10-19-2018,2022.5
2018,10-26-2018,1961
2018,11-7-2018,1951.5
2018,11-14-2018,1931
2018,11-21-2018,1945
2018,11-28-2018,1912.5
2018,12-7-2018,1962
2018,12-14-2018,1908
2018,12-21-2018,1920
2018,12-28-2018,1881
2019,1-7-2019,1858
2019,1-14-2019,1775.5
2019,1-21-2019,1842.5
2019,1-28-2019,1860
2019,2-6-2019,1912
2019,2-13-2019,1864
2019,2-25-2019,1913
2019,3-7-2019,1860.5
2019,3-21-2019,1912.5
2019,3-27-2019,1908
2019,4-2-2019,1886
2019,4-8-2019,1882.5
2019,4-15-2019,1853.5
2019,5-7-2019,1800.5
2019,5-14-2019,1839.5
2019,5-29-2019,1801.5
2019,6-11-2019,1785
2019,6-26-2019,1826.5
2019,7-1-2019,1803
2019,7-8-2019,1800
2019,7-15-2019,1830
