Year,Date,fiyat
2015,1-30-2015,5390.5
2015,2-9-2015,5692
2015,2-16-2015,5731
2015,2-23-2015,5657
2015,3-2-2015,5896
2015,3-9-2015,5800
2015,3-16-2015,5853
2015,3-23-2015,6093.5
2015,3-30-2015,6110
2015,4-6-2015,6001.5
2015,4-13-2015,6011.5
2015,4-20-2015,6002
2015,4-27-2015,6061
2015,5-4-2015,6362
2015,5-25-2015,6197.5
2015,6-1-2015,5970.5
2015,6-8-2015,5915
2015,6-15-2015,5760.5
2015,6-22-2015,5646
2015,6-29-2015,5767
2015,7-6-2015,5570
2015,7-13-2015,5605.5
2015,7-20-2015,5425
2015,7-27-2015,5190
2015,8-3-2015,5176.5
2015,8-10-2015,5150
2015,8-11-2015,5150
2015,8-12-2015,5103
2015,8-17-2015,5156
2015,8-24-2015,4888
2015,8-31-2015,5095
2015,9-7-2015,5176
2015,9-14-2015,5324
2015,9-21-2015,5267
2015,9-28-2015,4965
2015,10-5-2015,5144.5
2015,10-12-2015,5335
2015,10-19-2015,5240
2015,10-26-2015,5295
2015,11-2-2015,5135.5
2015,11-10-2015,4933.5
2015,11-16-2015,4765
2015,11-30-2015,4595
2015,12-14-2015,4640
2015,12-28-2015,4665.5
2016,1-11-2016,4402.5
2016,1-21-2016,4376
2016,1-25-2016,4454
2016,2-1-2016,4534
2016,2-10-2016,4507
2016,2-15-2016,4562
2016,2-23-2016,4663.5
2016,3-1-2016,4726
2016,3-7-2016,5000
2016,3-15-2016,4920
2016,3-21-2016,5079.5
2016,3-28-2016,4931
2016,4-5-2016,4776
2016,4-11-2016,4645
2016,4-18-2016,4798
2016,5-2-2016,5045
2016,5-9-2016,4739.5
2016,5-16-2016,4640.5
2016,5-24-2016,4637
2016,5-30-2016,4725.5
2016,6-6-2016,4706
2016,6-14-2016,4510.5
2016,6-20-2016,4585
2016,6-27-2016,4692
2016,7-12-2016,4811.5
2016,7-18-2016,4839
2016,7-25-2016,4920
2016,8-1-2016,4907
2016,8-22-2016,4732
2016,8-29-2016,4622
2016,9-5-2016,4603
2016,9-19-2016,4731.5
2016,9-26-2016,4794
2016,10-3-2016,4807
2016,10-10-2016,4786
2016,10-27-2016,4774
2016,10-31-2016,4827.5
2016,11-8-2016,5044
2016,11-14-2016,5620
2016,11-21-2016,5535.5
2016,11-29-2016,5778
2016,12-12-2016,5824
2016,12-19-2016,5561
2016,12-26-2016,5482
2017,1-9-2017,5551.5
2017,1-19-2017,5710
2017,1-23-2017,5706
2017,1-30-2017,5857
2017,2-6-2017,5786
2017,2-13-2017,6111
2017,2-20-2017,6002
2017,3-1-2017,6040
2017,3-6-2017,5856
2017,3-14-2017,5794
2017,3-20-2017,5891
2017,3-27-2017,5673.5
2017,4-3-2017,5817
2017,4-10-2017,5731
2017,4-17-2017,5655
2017,4-24-2017,5612
2017,5-2-2017,5746.5
2017,5-8-2017,5466
2017,5-15-2017,5586
2017,5-22-2017,5677
2017,5-29-2017,5671
2017,6-7-2017,5576
2017,6-12-2017,5752
2017,6-19-2017,5687
2017,6-28-2017,5822
2017,7-3-2017,5894
2017,7-10-2017,5780
2017,7-18-2017,5941
2017,7-24-2017,6000
2017,7-31-2017,6347
2017,8-7-2017,6333
2017,8-14-2017,6351
2017,8-28-2017,6714
2017,9-5-2017,6776
2017,9-25-2017,6405
2017,10-2-2017,6455
2017,10-9-2017,6607
2017,10-16-2017,7063
2017,10-23-2017,6959
2017,10-30-2017,6823
2017,11-6-2017,6812
2017,11-13-2017,6768
2017,11-20-2017,6828
2017,12-4-2017,6807
2017,12-11-2017,6547.5
2017,12-18-2017,6844
2017,12-25-2017,7019
2018,1-8-2018,7084.5
2018,1-15-2018,7180
2018,1-22-2018,7078
2018,2-5-2018,7066
2018,2-12-2018,6786
2018,2-19-2018,7158
2018,2-26-2018,7073
2018,3-12-2018,6806
2018,3-19-2018,6791
2018,4-2-2018,6685
2018,4-9-2018,6767
2018,4-16-2018,6811.5
2018,4-24-2018,6987
2018,5-2-2018,6785
2018,5-9-2018,6786
2018,5-16-2018,6773.5
2018,5-23-2018,6800
2018,5-30-2018,6810
2018,6-7-2018,7245.5
2018,6-14-2018,7197
2018,6-21-2018,6801
2018,6-28-2018,6650
2018,7-9-2018,6383
2018,7-16-2018,6143
2018,7-23-2018,6153
2018,7-30-2018,6185
2018,8-7-2018,6132
2018,8-14-2018,6059
2018,8-21-2018,6025.5
2018,9-5-2018,5850
2018,9-12-2018,5891
2018,9-19-2018,6057
2018,9-26-2018,6257.5
2018,10-5-2018,6182.5
2018,10-12-2018,6325
2018,10-19-2018,6191.5
2018,10-26-2018,6159
2018,11-7-2018,6210
2018,11-14-2018,6106
2018,11-21-2018,6242
2018,11-28-2018,6198
2018,12-7-2018,6173
2018,12-14-2018,6104
2018,12-21-2018,5987
2018,12-28-2018,6018
2019,1-7-2019,5889.5
2019,1-14-2019,5861
2019,1-21-2019,5951.5
2019,1-28-2019,5996
2019,2-6-2019,6237
2019,2-13-2019,6125
2019,2-25-2019,6501
2019,3-7-2019,6436
2019,3-21-2019,6465
2019,3-27-2019,6327.5
2019,4-2-2019,6431.5
2019,4-8-2019,6484.5
2019,4-15-2019,6455
2019,5-7-2019,6173
2019,5-14-2019,6036
2019,5-29-2019,5905
2019,6-11-2019,5944
2019,6-26-2019,6005.5
2019,7-1-2019,5982
2019,7-8-2019,5930
2019,7-15-2019,5995
2019,7-22-2019,6030
2019,7-29-2019,5972.5
2019,8-5-2019,5678
2019,8-12-2019,5750
2019,8-19-2019,5790
2019,8-26-2019,5686
2019,9-2-2019,5637
2019,9-9-2019,5795
2019,9-16-2019,5907.5
2019,9-23-2019,5278
2019,9-30-2019,5761
2019,10-7-2019,5668.5
2019,10-14-2019,5755
2019,10-21-2019,5843
2019,10-28-2019,5910
2019,11-4-2019,5875
2019,11-11-2019,5868.5
2019,11-18-2019,5851
2019,11-25-2019,5880
2019,12-2-2019,5869.5
2019,12-9-2019,6025.5
2019,12-16-2019,6154
2019,12-23-2019,6155.5
2019,12-30-2019,6183.5
2020,1-6-2020,6119.5
2020,1-13-2020,6177
2020,1-20-2020,6276.5
2020,1-27-2020,5968
2020,2-3-2020,5602
2020,2-10-2020,5653
2020,2-17-2020,5802
2020,2-24-2020,5702
2020,3-2-2020,5640
2020,3-9-2020,5624
2020,3-16-2020,5211
2020,3-23-2020,4617.5
2020,3-30-2020,4763
2020,4-6-2020,4863.5
2020,4-13-2020,4963.5
2020,4-20-2020,5169.5
2020,4-27-2020,5165.5
2020,5-4-2020,5058
2020,5-11-2020,5231
2020,5-18-2020,5249.5
2020,5-25-2020,5272
2020,6-1-2020,5332.5
2020,6-8-2020,5659
2020,6-15-2020,5646
2020,6-22-2020,5835.5
2020,6-29-2020,5957
2020,7-6-2020,6112
2020,7-13-2020,6545
2020,7-20-2020,6410.5
2020,7-27-2020,6420
2020,8-3-2020,6435
2020,8-10-2020,6361.5
2020,8-17-2020,6439.5
2020,8-24-2020,6579.5
2020,8-31-2020,6728
2020,9-7-2020,6790.5
2020,9-14-2020,6788
2020,9-21-2020,6833.5
2020,9-28-2020,6584.5
2020,10-5-2020,6409.5
2020,10-12-2020,6769
2020,10-19-2020,6755
2020,10-26-2020,6806
2020,11-2-2020,6694.5
2020,11-9-2020,6938.5
2020,11-16-2020,6926
2020,11-23-2020,7215.5
2020,11-30-2020,7674.5
2020,12-7-2020,7672
2020,12-14-2020,7787
2020,12-21-2020,7858.5
2020,12-28-2020,7793
2021,1-4-2021,7931
2021,1-11-2021,7967
2021,1-18-2021,7979.5
2021,1-25-2021,7872
2021,2-1-2021,7877
2021,2-8-2021,8007
2021,2-15-2021,8270.5
2021,2-22-2021,8806.5
2021,3-1-2021,9213.5
2021,3-8-2021,8992.5
2021,3-15-2021,9052.5
2021,3-22-2021,9036
2021,3-29-2021,8942.5
2021,4-5-2021,8984.5
2021,4-12-2021,8901
2021,4-19-2021,9415
2021,4-26-2021,9758
2021,5-3-2021,9949
2021,5-10-2021,10724.5
2021,5-17-2021,10257
2021,5-24-2021,9868
2021,5-31-2021,10159.5
2021,6-7-2021,9848
2021,6-14-2021,9900
2021,6-21-2021,9042.5
2021,6-28-2021,9333.5
2021,7-5-2021,9432
2021,7-12-2021,9347
2021,7-19-2021,9264.5
2021,7-26-2021,9580
2021,8-2-2021,9737
2021,8-9-2021,9311.5
2021,8-16-2021,9377
2021,8-23-2021,9237
2021,8-30-2021,9462.5
2021,9-6-2021,9401
2021,9-13-2021,9626
2021,9-20-2021,9145
2021,9-27-2021,9339
2021,10-4-2021,9267
2021,10-11-2021,9525
2021,10-18-2021,10499.5
2021,10-25-2021,10045
2021,11-1-2021,9870
2021,11-8-2021,9880
2021,11-15-2021,9844.5
2021,11-22-2021,9729
2021,11-29-2021,9750
2021,12-6-2021,9525
2021,12-13-2021,9495
2021,12-20-2021,9404
2021,12-27-2021,9650
2022,1-3-2022,9691
2022,1-10-2022,9664.5
2022,1-17-2022,9674
2022,1-24-2022,9799.5
2022,1-31-2022,9615
2022,2-7-2022,9849
2022,2-14-2022,9877
2022,2-21-2022,9959.5
2022,2-28-2022,9972
2022,3-7-2022,10729
2022,3-14-2022,9875
2022,3-21-2022,10172
2022,3-28-2022,10225
2022,4-4-2022,10300.5
2022,4-11-2022,10235
2022,4-18-2022,10380.5
2022,4-25-2022,9917
2022,5-2-2022,9510
2022,5-9-2022,9159
2022,5-16-2022,9265
2022,5-23-2022,9499.5
2022,5-30-2022,9520
2022,6-6-2022,9711
2022,6-13-2022,9289
2022,6-20-2022,8870
2022,6-27-2022,8352
2022,7-4-2022,8034
2022,7-11-2022,7622
2022,7-18-2022,7138
2022,7-25-2022,7446
2022,8-1-2022,7929.5
2022,8-8-2022,7834
2022,8-15-2022,7865
2022,8-22-2022,8040
2022,8-29-2022,7909.5
2022,9-5-2022,7652
2022,9-12-2022,8024
2022,9-19-2022,7770
2022,9-26-2022,7448
2022,10-3-2022,7522
2022,10-10-2022,7650
2022,10-17-2022,7710
2022,10-24-2022,7660.5
2022,10-31-2022,7520
2022,11-7-2022,7953.5
2022,11-14-2022,8345
2022,11-21-2022,7900
2022,11-28-2022,7965
2022,12-5-2022,8439.5
2022,12-12-2022,8370.5
2022,12-19-2022,8329
