Date,Price,Open,High,Low,Vol.,Change 
12/17/2023,99.3544,98.8121,100.0416,98.4998,,0.46
12/10/2023,98.8993,97.6229,99.1601,95.9231,,1.06
12/03/2023,97.8635,101.0512,101.0554,97.4909,,-3.55
11/26/2023,101.4705,101.1429,102.7565,100.8070,,0.05
11/19/2023,101.4189,102.1380,103.0948,101.3641,,-0.49
11/12/2023,101.9202,101.5250,104.0363,101.3532,,0.31
11/05/2023,101.6086,104.9893,105.6285,101.5445,,-3.44
10/29/2023,105.2272,105.4906,105.9060,104.1135,,-0.38
10/22/2023,105.6300,105.2105,105.8204,103.7972,,-0.18
10/15/2023,105.8155,105.1685,106.7086,104.3166,,0.50
10/08/2023,105.2870,104.1348,105.3083,102.5412,,2.64
10/01/2023,102.5742,104.7031,104.9560,100.9291,,-2.16
09/24/2023,104.8391,106.1119,106.5888,104.7907,,-1.30
09/17/2023,106.2245,107.5270,107.9379,106.0189,,-1.16
09/10/2023,107.4702,105.9318,108.2163,105.9205,,1.31
09/03/2023,106.0826,106.3355,107.0266,105.7792,,-0.60
08/27/2023,106.7234,105.8324,107.3913,105.2195,,1.18
08/20/2023,105.4753,104.7662,105.5476,103.6046,,1.18
08/13/2023,104.2442,105.5902,105.6615,103.2620,,-1.27
08/06/2023,105.5861,105.9660,107.0277,104.2342,,-0.33
07/30/2023,105.9320,106.8322,107.4163,104.7281,,-1.21
07/23/2023,107.2298,106.2510,108.3166,106.1545,,0.97
07/16/2023,106.1991,104.3093,106.5900,103.5067,,1.53
07/09/2023,104.5971,102.0402,105.0729,101.7562,,2.63
07/02/2023,101.9122,101.4910,102.6298,100.8034,,0.43
06/25/2023,101.4785,102.7723,103.1621,99.6437,,-0.85
06/18/2023,102.3456,104.5732,104.8063,101.5358,,-2.66
06/11/2023,105.1417,100.5168,105.1536,99.5469,,4.14
06/04/2023,100.9596,100.1595,101.6158,99.4832,,1.14
05/28/2023,99.8213,99.9475,100.1699,97.0062,,-0.26
05/21/2023,100.0794,100.6239,101.0904,98.7891,,-0.98
05/14/2023,101.0741,101.0229,102.5249,100.1268,,-0.11
05/07/2023,101.1839,103.0708,104.0235,100.7804,,-1.72
04/30/2023,102.9563,103.8325,104.3389,101.0608,,-1.30
04/23/2023,104.3114,105.2414,106.1818,102.7478,,-1.20
04/16/2023,105.5753,107.9029,108.8917,105.3244,,-2.08
04/09/2023,107.8204,106.2011,108.4405,105.9495,,1.49
04/02/2023,106.2398,106.3044,107.3374,105.8528,,0.69
03/26/2023,105.5076,102.6066,105.5726,102.3800,,2.41
03/19/2023,103.0238,102.6974,103.4103,101.6714,,0.42
03/12/2023,102.5945,104.6662,105.8607,101.6154,,-1.87
03/05/2023,104.5533,107.3410,107.5675,103.3623,,-3.47
02/26/2023,108.3105,105.6887,108.3469,105.3847,,2.62
02/19/2023,105.5489,106.9864,107.6988,104.7415,,-0.92
02/12/2023,106.5327,108.5819,109.1775,105.8051,,-1.97
02/05/2023,108.6756,107.2141,109.1021,105.5546,,1.50
01/29/2023,107.0711,111.3419,112.0983,106.9883,,-4.07
01/22/2023,111.6110,112.1896,113.1202,111.2621,,-0.46
01/15/2023,112.1277,111.3890,113.1712,110.9366,,0.49
01/08/2023,111.5772,109.0022,111.6857,108.2222,,3.21
01/01/2023,108.1114,112.5637,112.8889,107.0287,,-4.16
12/25/2022,112.8052,113.3916,114.0301,111.7172,,0.22
12/18/2022,112.5557,112.4114,113.8448,111.0868,,-0.14
12/11/2022,112.7092,112.6785,115.6539,112.1880,,0.87
12/04/2022,111.7327,114.1984,114.5204,109.5772,,-2.39
11/27/2022,114.4683,113.8648,117.8104,112.9223,,-0.39
11/20/2022,114.9175,114.0326,117.8467,113.4672,,0.11
11/13/2022,114.7940,117.2927,118.4463,113.5792,,-1.78
11/06/2022,116.8796,117.8469,119.2311,113.7208,,-0.52
10/30/2022,117.4946,112.8945,117.5935,112.3077,,5.13
10/23/2022,111.7561,111.5932,114.3745,110.3313,,0.44
