Date,fiyat
1-6-2019,18.550
1-11-2019,18.550
1-18-2019,18.550
1-25-2019,18.550
2-1-2019,18.550
2-8-2019,18.550
2-15-2019,18.550
2-22-2019,18.550
3-1-2019,18.550
3-8-2019,18.550
3-15-2019,18.390
3-22-2019,18.280
3-29-2019,18.020
4-5-2019,17.950
4-12-2019,17.750
4-19-2019,17.590
4-26-2019,17.370
5-3-2019,17.200
5-10-2019,17.100
5-17-2019,16.650
5-24-2019,16.550
5-31-2019,16.160
6-7-2019,15.750
6-14-2019,15.600
6-21-2019,15.600
6-28-2019,15.660
7-5-2019,15.840
7-12-2019,16.000
7-19-2019,16.040
7-26-2019,16.000
8-2-2019,16.000
8-9-2019,16.010
8-16-2019,16.100
8-23-2019,16.270
8-30-2019,16.350
9-6-2019,16.600
9-12-2019,17.600
9-20-2019,17.650
9-27-2019,17.650
10-11-2019,17.425
10-18-2019,17.060
10-25-2019,16.710
11-1-2019,16.520
11-8-2019,16.250
11-15-2019,15.820
11-22-2019,15.530
11-29-2019,15.420
12-6-2019,15.400
12-13-2019,15.400
12-20-2019,15.420
12-27-2019,15.450
1-3-2020,15.550
1-10-2020,15.610
1-17-2020,15.700
1-23-2020,15.700
2-7-2020
2-14-2020,15.700
2-21-2020,15.700
2-28-2020,15.310
3-6-2020,15.100
3-13-2020,15.240
3-20-2020,15.050
3-27-2020,14.820
4-3-2020,14.440
4-10-2020,14.300
4-17-2020,14.480
4-24-2020,14.320
4-30-2020,14.250
5-9-2020,14.250
5-15-2020,14.250
5-22-2020,14.400
5-29-2020,14.480
6-5-2020,14.740
6-12-2020,15.400
6-19-2020,15.300
6-24-2020,15.200
7-3-2020,15.040
7-10-2020,14.790
7-17-2020,14.600
7-24-2020,14.470
7-31-2020,14.350
8-7-2020,14.350
8-14-2020,14.840
8-21-2020,15.150
8-28-2020,15.330
9-4-2020,15.530
9-11-2020,15.530
9-18-2020,15.490
9-25-2020,15.930
10-2-2020,16.250
10-9-2020
10-16-2020,17.450
10-23-2020,18.000
10-30-2020,18.410
11-6-2020,19.630
11-13-2020,22.500
11-20-2020,25.000
11-27-2020,25.860
12-4-2020,25.580
12-11-2020,24.880
12-18-2020,23.050
12-25-2020,22.030
12-31-2020,21.188
1-8-2021,21.200
1-15-2021,21.080
1-22-2021,21.200
1-29-2021,21.680
2-5-2021,21.960
2-10-2021,22.000
2-20-2021,22.633
2-26-2021,26.650
3-5-2021,28.400
3-12-2021,28.000
3-19-2021,27.500
3-26-2021,27.340
4-2-2021,28.980
4-9-2021,30.213
4-16-2021,31.000
4-23-2021,31.000
4-30-2021,31.000
5-8-2021,30.767
5-14-2021,30.740
5-21-2021,30.500
5-28-2021,29.950
6-4-2021,28.800
6-11-2021,28.050
6-18-2021,27.700
6-25-2021,27.280
7-2-2021,26.730
7-9-2021,26.488
7-16-2021,26.360
7-23-2021,27.750
7-30-2021,27.760
8-6-2021,27.680
8-13-2021,27.850
8-20-2021,27.870
8-27-2021,28.320
9-3-2021,28.520
9-10-2021,28.540
9-17-2021,28.130
9-24-2021,27.625
9-30-2021,27.158
10-8-2021,27.525
10-15-2021,27.700
10-22-2021,27.280
10-29-2021,27.100
11-5-2021,26.760
11-12-2021,25.990
11-19-2021,25.450
11-26-2021,24.740
12-3-2021,24.240
12-10-2021,24.000
12-17-2021,23.800
12-24-2021,23.560
12-31-2021,23.280
1-7-2022,23.200
1-14-2022,23.200
1-21-2022,23.200
1-28-2022,23.200
2-11-2022,23.260
2-18-2022,23.250
2-25-2022,23.050
3-4-2022,23.130
3-11-2022,23.800
3-18-2022,23.610
3-25-2022,23.470
4-1-2022,23.290
4-8-2022,23.213
4-15-2022,23.440
4-22-2022,23.470
4-29-2022,23.300
5-7-2022,23.500
5-13-2022,23.542
5-20-2022,23.360
5-27-2022,23.200
6-2-2022,23.160
6-10-2022,22.740
6-17-2022,22.480
6-24-2022,21.460
7-1-2022,19.330
7-8-2022,18.280
7-15-2022,17.540
7-22-2022,17.000
7-29-2022,17.020
8-5-2022,17.080
8-12-2022,17.040
8-19-2022,17.050
8-26-2022,16.930
9-2-2022,17.000
9-9-2022,17.230
9-16-2022,17.788
9-23-2022,18.980
9-30-2022,19.660
10-14-2022,18.943
10-21-2022,18.280
10-28-2022,17.730
11-4-2022,17.650
11-11-2022,17.490
11-18-2022,17.330
11-25-2022,17.200
12-2-2022,16.960
12-9-2022,16.750
12-16-2022,17.090
12-23-2022,17.250
12-30-2022,17.250
1-6-2023,17.338
1-13-2023,17.480
1-20-2023,17.500
2-3-2023,17.500
2-10-2023,17.360
2-17-2023,17.300
2-24-2023,17.100
3-3-2023,17.000
3-10-2023,17.000
3-17-2023,16.850
3-24-2023,16.640
3-31-2023,16.550
4-7-2023,16.550
4-14-2023,16.500
4-21-2023,16.400
4-28-2023,16.400
5-5-2023,16.650
5-12-2023,16.650
5-19-2023,16.610
5-26-2023,16.490
6-2-2023,16.330
6-9-2023,16.140
6-16-2023,16.010
6-23-2023,15.867
6-30-2023,15.833
7-7-2023,16.030
7-14-2023,16.250
7-21-2023,16.140
7-28-2023,16.090
8-4-2023,16.240
8-11-2023,16.250
8-18-2023,16.550
8-25-2023,16.910
9-1-2023,17.090
9-8-2023,17.310
9-15-2023,17.400
9-22-2023,17.310
9-28-2023,17.250
10-13-2023,17.107
10-20-2023,16.940
10-27-2023,16.870
11-3-2023,16.570
11-10-2023,16.410
11-17-2023,16.080
11-24-2023,15.990
12-1-2023,15.930
12-8-2023,15.900
12-15-2023,15.870
