,fiyat
2019-01-06,18.55
2019-01-07,18.55
2019-01-08,18.55
2019-01-09,18.55
2019-01-10,18.55
2019-01-11,18.55
2019-01-12,18.55
2019-01-13,18.55
2019-01-14,18.55
2019-01-15,18.55
2019-01-16,18.55
2019-01-17,18.55
2019-01-18,18.55
2019-01-19,18.55
2019-01-20,18.55
2019-01-21,18.55
2019-01-22,18.55
2019-01-23,18.55
2019-01-24,18.55
2019-01-25,18.55
2019-01-26,18.55
2019-01-27,18.55
2019-01-28,18.55
2019-01-29,18.55
2019-01-30,18.55
2019-01-31,18.55
2019-02-01,18.55
2019-02-02,18.55
2019-02-03,18.55
2019-02-04,18.55
2019-02-05,18.55
2019-02-06,18.55
2019-02-07,18.55
2019-02-08,18.55
2019-02-09,18.55
2019-02-10,18.55
2019-02-11,18.55
2019-02-12,18.55
2019-02-13,18.55
2019-02-14,18.55
2019-02-15,18.55
2019-02-16,18.55
2019-02-17,18.55
2019-02-18,18.55
2019-02-19,18.55
2019-02-20,18.55
2019-02-21,18.55
2019-02-22,18.55
2019-02-23,18.55
2019-02-24,18.55
2019-02-25,18.55
2019-02-26,18.55
2019-02-27,18.55
2019-02-28,18.55
2019-03-01,18.55
2019-03-02,18.55
2019-03-03,18.55
2019-03-04,18.55
2019-03-05,18.55
2019-03-06,18.55
2019-03-07,18.55
2019-03-08,18.55
2019-03-09,18.55
2019-03-10,18.55
2019-03-11,18.55
2019-03-12,18.55
2019-03-13,18.55
2019-03-14,18.55
2019-03-15,18.39
2019-03-16,18.39
2019-03-17,18.39
2019-03-18,18.39
2019-03-19,18.39
2019-03-20,18.39
2019-03-21,18.39
2019-03-22,18.28
2019-03-23,18.28
2019-03-24,18.28
2019-03-25,18.28
2019-03-26,18.28
2019-03-27,18.28
2019-03-28,18.28
2019-03-29,18.02
2019-03-30,18.02
2019-03-31,18.02
2019-04-01,18.02
2019-04-02,18.02
2019-04-03,18.02
2019-04-04,18.02
2019-04-05,17.95
2019-04-06,17.95
2019-04-07,17.95
2019-04-08,17.95
2019-04-09,17.95
2019-04-10,17.95
2019-04-11,17.95
2019-04-12,17.75
2019-04-13,17.75
2019-04-14,17.75
2019-04-15,17.75
2019-04-16,17.75
2019-04-17,17.75
2019-04-18,17.75
2019-04-19,17.59
2019-04-20,17.59
2019-04-21,17.59
2019-04-22,17.59
2019-04-23,17.59
2019-04-24,17.59
2019-04-25,17.59
2019-04-26,17.37
2019-04-27,17.37
2019-04-28,17.37
2019-04-29,17.37
2019-04-30,17.37
2019-05-01,17.37
2019-05-02,17.37
2019-05-03,17.2
2019-05-04,17.2
2019-05-05,17.2
2019-05-06,17.2
2019-05-07,17.2
2019-05-08,17.2
2019-05-09,17.2
2019-05-10,17.1
2019-05-11,17.1
2019-05-12,17.1
2019-05-13,17.1
2019-05-14,17.1
2019-05-15,17.1
2019-05-16,17.1
2019-05-17,16.65
2019-05-18,16.65
2019-05-19,16.65
2019-05-20,16.65
2019-05-21,16.65
2019-05-22,16.65
2019-05-23,16.65
2019-05-24,16.55
2019-05-25,16.55
2019-05-26,16.55
2019-05-27,16.55
2019-05-28,16.55
2019-05-29,16.55
2019-05-30,16.55
2019-05-31,16.16
2019-06-01,16.16
2019-06-02,16.16
2019-06-03,16.16
2019-06-04,16.16
2019-06-05,16.16
2019-06-06,16.16
2019-06-07,15.75
2019-06-08,15.75
2019-06-09,15.75
2019-06-10,15.75
2019-06-11,15.75
2019-06-12,15.75
2019-06-13,15.75
2019-06-14,15.6
2019-06-15,15.6
2019-06-16,15.6
2019-06-17,15.6
2019-06-18,15.6
2019-06-19,15.6
2019-06-20,15.6
2019-06-21,15.6
2019-06-22,15.6
2019-06-23,15.6
2019-06-24,15.6
2019-06-25,15.6
2019-06-26,15.6
2019-06-27,15.6
2019-06-28,15.66
2019-06-29,15.66
2019-06-30,15.66
2019-07-01,15.66
2019-07-02,15.66
2019-07-03,15.66
2019-07-04,15.66
2019-07-05,15.84
2019-07-06,15.84
2019-07-07,15.84
2019-07-08,15.84
2019-07-09,15.84
2019-07-10,15.84
2019-07-11,15.84
2019-07-12,16.0
2019-07-13,16.0
2019-07-14,16.0
2019-07-15,16.0
2019-07-16,16.0
2019-07-17,16.0
2019-07-18,16.0
2019-07-19,16.04
2019-07-20,16.04
2019-07-21,16.04
2019-07-22,16.04
2019-07-23,16.04
2019-07-24,16.04
2019-07-25,16.04
2019-07-26,16.0
2019-07-27,16.0
2019-07-28,16.0
2019-07-29,16.0
2019-07-30,16.0
2019-07-31,16.0
2019-08-01,16.0
2019-08-02,16.0
2019-08-03,16.0
2019-08-04,16.0
2019-08-05,16.0
2019-08-06,16.0
2019-08-07,16.0
2019-08-08,16.0
2019-08-09,16.01
2019-08-10,16.01
2019-08-11,16.01
2019-08-12,16.01
2019-08-13,16.01
2019-08-14,16.01
2019-08-15,16.01
2019-08-16,16.1
2019-08-17,16.1
2019-08-18,16.1
2019-08-19,16.1
2019-08-20,16.1
2019-08-21,16.1
2019-08-22,16.1
2019-08-23,16.27
2019-08-24,16.27
2019-08-25,16.27
2019-08-26,16.27
2019-08-27,16.27
2019-08-28,16.27
2019-08-29,16.27
2019-08-30,16.35
2019-08-31,16.35
2019-09-01,16.35
2019-09-02,16.35
2019-09-03,16.35
2019-09-04,16.35
2019-09-05,16.35
2019-09-06,16.6
2019-09-07,16.6
2019-09-08,16.6
2019-09-09,16.6
2019-09-10,16.6
2019-09-11,16.6
2019-09-12,17.6
2019-09-13,17.6
2019-09-14,17.6
2019-09-15,17.6
2019-09-16,17.6
2019-09-17,17.6
2019-09-18,17.6
2019-09-19,17.6
2019-09-20,17.65
2019-09-21,17.65
2019-09-22,17.65
2019-09-23,17.65
2019-09-24,17.65
2019-09-25,17.65
2019-09-26,17.65
2019-09-27,17.65
2019-09-28,17.65
2019-09-29,17.65
2019-09-30,17.65
2019-10-01,17.65
2019-10-02,17.65
2019-10-03,17.65
2019-10-04,17.65
2019-10-05,17.65
2019-10-06,17.65
2019-10-07,17.65
2019-10-08,17.65
2019-10-09,17.65
2019-10-10,17.65
2019-10-11,17.425
2019-10-12,17.425
2019-10-13,17.425
2019-10-14,17.425
2019-10-15,17.425
2019-10-16,17.425
2019-10-17,17.425
2019-10-18,17.06
2019-10-19,17.06
2019-10-20,17.06
